"","x"
"179",14.4847741207064
"180",13.9391586733107
"181",13.7285855423881
"182",13.471413701087
"183",13.6518914582335
"184",14.1179727735669
"185",15.0522869637381
"186",15.7376974182593
"187",16.4999778494161
"188",16.6985212968239
"189",16.6011700090602
"190",16.5900930173785
"191",16.217899128897
"192",16.7547710573576
"193",17.0575026540826
"194",17.0466106897407
"195",16.7304477456464
"196",16.8281235304971
"197",16.9871604324826
"198",17.1118341627151
"199",17.258699466508
"200",17.1941040483947
"201",17.3133415460277
"202",17.3438323304846
"203",16.8096930767575
"204",16.4046506133695
"205",16.1696358290749
"206",15.5509792027116
"207",15.1487434619912
"208",14.8522218035788
"209",14.6451657320088
"210",14.3922214987733
"211",14.664463836558
"212",15.0500949886182
"213",15.0438374981099
"214",14.9015117072755
"215",14.858920583606
"216",14.7469329817865
"217",14.5909800986043
"218",14.4923764986452
"219",14.588016781792
"220",14.9498337098047
"221",14.9355696919047
"222",14.7455134881639
"223",14.5551559441206
"224",14.4159579442443
"225",14.4252482623873
"226",14.2984995312119
"227",14.2335575152747
"228",14.1672901342766
"229",14.0077799758404
"230",13.8246172958202
"231",13.810777412234
"232",13.9790122665545
"233",13.9895069953788
"234",14.1233079252418
"235",14.1008648820576
"236",13.7452625367726
"237",13.3564091345908
"238",13.4554250340982
"239",13.354366650045
"240",13.1927371479999
"241",13.404612488625
"242",12.7701721990477
"243",12.4524851265235
"244",12.5877884169305
"245",12.5699189456502
"246",12.776899294549
"247",13.1659165061277
"248",13.6358326130379
"249",14.0823178103082
"250",13.7109379592059
"251",13.2367031022058
"252",13.3707901745374
"253",13.1443807312137
"254",13.1656714726713
"255",12.7801581374654
"256",12.4052940653785
"257",12.1287559609423
"258",11.930816141819
"259",12.200869326683
"260",11.9664105793599
"261",11.2836697415336
"262",10.7389042335724
"263",10.2591853144266
"264",10.2150027075721
"265",10.6764630876701
"266",10.7512586028777
"267",10.449728839881
"268",10.4802683169006
"269",10.7531435299045
"270",11.3548663098723
"271",11.49600398087
"272",11.5634266424809
"273",11.8883454088227
"274",12.4412350828839
"275",12.6562728662316
"276",12.4210805378377
"277",12.0527508386865
"278",11.3522768318554
"279",10.8840136389428
"280",9.92306088705608
"281",8.86292268566212
"282",8.13041792192342
"283",7.4784382372905
"284",6.16758695336885
"285",6.22939092946687
"286",6.82100304707405
"287",7.47360128894071
"288",7.361353060744
"289",7.52039768666433
"290",6.76596387928321
"291",6.4128521968342
"292",6.87693345063715
"293",7.51820983221847
"294",7.80367274937126
"295",6.92409062858874
"296",7.37504430424153
"297",8.52557831583382
"298",8.15513320889612
"299",8.51500388486691
"300",7.94332836409838
"301",6.96767821379828
"302",5.6924468646731
"303",4.72061745636113
"304",3.87777312046726
"305",3.06830579861527
"306",2.37414396537716
"307",2.25497773855963
"308",1.71739902585568
"309",1.30486737622981
"310",1.60557932939126
"311",1.30307917665866
"312",0.929893323460528
"313",0.478385513543871
"314",0.316728769283607
"315",0.817518589142223
"316",0.591243921425259
"317",0.370289336755653
"318",0.113081715886752
"319",0.0091931578729029
"320",0.820817856856948
"321",0.722409532118242
"322",0.892492086296102
"323",0.779571195404812
"324",0.451641138876849
"325",0.222506943545117
"326",-0.0898191774845399
"327",-0.363203190924269
"328",-0.544786210632954
"329",-0.531668327470166
"330",-0.638644689935819
"331",-0.513381787806302
"332",-0.478275520395722
"333",-0.579864470251861
"334",-0.891710428469105
"335",-0.966281537385898
"336",-1.17963798382723
"337",-0.94888459088038
"338",-0.124043429278667
"339",-0.0537334971556246
"340",-0.221035571775289
"341",-0.362561578850232
"342",-0.386340458219997
"343",-0.437701329610497
"344",-0.697340595028724
"345",-0.677631114568174
"346",-0.552573440729043
"347",0.395394346539193
"348",0.631690790294207
"349",1.09130407687775
"350",1.07370884332929
"351",1.60200036853801
"352",2.63343825443381
"353",3.43343421834921
